"content_id","user_id","name","keyword","price","flag_used","category_id_1","category_id_2","category_id_3","emergency_cnt","comment_cnt","interest","pfavcnt"
157826057,114088,"인텔 4세대 i5-4670 사무용 컴퓨터 팝니다.","사무용컴퓨터,사무용PC,중고사무용컴퓨터,중고사무용PC,사무용중고컴퓨터",250000,1,"600","600100","600100006",0,0,714,4
162431268,3247363,"갤럭시노트10+ 512GB 글로우 (무잔상) ! 0821","갤럭시노트10,노트10플러스,노트10플러스중고,노트10플러스공기,노트10플러스글로",439000,1,"600","600700","600700001",0,0,39,2
162806215,12851816,"#한정판매#갤럭시S21 256GB 화이트 SS급 중고폰공기계[75333]","갤럭시S21,갤럭시S21화이트,S21화이트",620000,1,"600","600700","600700001",0,0,145,5
152625380,2347538,"#당일발송#갤럭시S9플러스 64G 대량판매 등급별초특가!","S9플러스,S9플러스중고,갤럭시S9플러스",195000,1,"600","600700","600700001",0,0,234,8
161572473,12927760,"포터2카고 중고화물차 팝니다.","포터2,포터중고차,포터2카고,포터2중고,포터2카고중고",9800000,1,"750","750200","750200700",0,0,388,4
159624182,12563307,"[화인]최저가!!! SSD중고컴퓨터 배틀그라운드 오버워치 게이밍PC !!","SSD컴퓨터,게이밍PC본체,사무용컴퓨터중고,최저가PC,조립PC데스크탑",180000,1,"600","600100","600100006",0,0,2394,49
163127295,75335649,"러블리트렌치 코트 ㅡ팔로우만구매가능","트렌치코트,여성트렌치,가을트렌치,바바리코트,여성롱바바리",47000,2,"310","310110","310110010",0,0,138,8
137118036,12851816,"#특별가격이벤트#갤럭시S10플러스 128G 대량판매 등급별초특가!","s10플러스공기계,갤럭시s10플러스,s10플러스,s10플러스중고",295000,1,"600","600700","600700001",0,1,4802,87
162362067,12991209,"건륭제 유리홍 용문 천구병","중국도자기",200000,1,"990","990200","990200",0,0,26,0
163082544,87148,"럭키슈에뜨 흰색 프릴티셔츠 36  n8967  애슐리상점","애슐리상점,티셔츠,럭키슈에뜨",35000,1,"310","310260","310260200",0,0,243,10
147394395,10895632,"김오곤의 쏘팔메토 쏘팔맥스포맨 1,000MG 130캡슐 총 4개월분","쏘팔메토,옥타코사놀,쏘팔맥스포맨,김오곤,전립선",57000,2,"800","800300","800300002",0,2,397,17
163063044,6965817,"(A+급) 갤럭시노트8 64GB (A+급), 외관 깨끗한 블루, 약한잔상","노트8,갤럭시노트8,노트9,갤럭시노트,노트",159000,1,"600","600700","600700001",0,0,174,2
151970858,12398974,"밑단 언발트임 밴딩 팬츠 (2컬러)","남자트레이닝,남자트레이닝바지,남자트레이닝팬츠,언발트임팬츠,밑단트임팬츠",28000,2,"320","320150","320150200",0,5,2162,74
157837422,10895632,"&신상& 아이리버 블루투스 이어폰 IB-T2030BT(새상품,택포 5만)","블루투스,이어폰,무선이어폰,무선블루투스,아이리버",50000,2,"600","600500","600500010",0,0,1173,15
161384763,12851816,"#한정판매# 갤럭시S10 A급 화이트 128G 중고폰공기계[99996]","갤럭시S10,S10중고,S10중고폰,S10공기계,직거래",275000,1,"600","600700","600700001",0,0,520,10
98870018,1933344,"[모모짱넷] 이벤트총정리 : 키성장제/바스트업/다이어트 (최강조합)","키성장,가슴업,다이어트,바스트업,수면",49000,2,"410","410900","410900",7,87,22386,601
151067165,11951839,"테일러메이드 혼마  드라이버 아이언  등","혼마,honma,테일러메이드,m6,simmax",130000,1,"700","700600","700600300",2,13,7192,82
161015896,11031323,"화병","골동품,수집품,도자기,중국도자기,골동품도자기",650000,1,"990","990100","990100",0,0,83,1
162909690,3723020,"엘지노트북 풀구성","울트라북,엘지노트북,사무용,인강용,포토샵",350000,1,"600","600100","600100001",0,0,94,4
87024687,1266155,"18k 24k 염주팔찌 도금팔찌 도금목걸이 금팔찌 순금팔찌 금염주 순금","도금,도금팔찌,금팔찌,불교팔찌,염주팔찌",70000,2,"420","420200","420200300",0,1,12002,198
125842831,8266205,"인텔 10400F , 1060, 1070TI , 3060 가성비 본체","냥희네컴퓨터,배그,1660,3070,2060",645000,2,"600","600100","600100006",3,7,28213,257
137078818,12851816,"#당일발송#아이폰SE2 64G/128G 대량판매 등급별초특가!","아이폰SE2중고,아이폰se2공기계,SE2중고,SE2,아이폰SE2",250000,1,"600","600700","600700001",1,4,25583,817
149152299,12851816,"#대량판매#갤럭시S21플러스 256G  대량판매 등급별초특가","S21플러스,S21플러스중고,S21플러스중고폰,갤럭시S21플러스",649000,1,"600","600700","600700001",0,1,7358,165
158652427,10197556,"Z플립 5G 256GB 미스틱브론즈 A급 47677","Z플립,Z플립5G,갤럭시Z플립5G",540000,1,"600","600700","600700001",0,0,1344,13
159188095,1462217,"스팀다리미 핸디스팀다리미 다리미 스타일러 정품 독일 무배",,33000,2,"600","600400","600400003",0,0,267,15
159389642,12851816,"#한정판매#아이폰11 128GB 레드 S급 중고폰 공기계[62563]","아이폰11,아이폰11레드,아이폰11중고",625000,1,"600","600700","600700001",0,0,890,9
159564782,12851816,"#한정판매#아이폰XS맥스 256GB 실버 A+ 중고폰 공기계[95710]","아이폰XS맥스,아이폰XSMAX",535000,1,"600","600700","600700001",0,0,1084,38
160654134,2723062,"[매장O/정품/새제품] 톰브라운 카드지갑 삼선 카드 그레이","톰브라운,카드지갑,톰브라운지갑,톰브라운새제품,톰브라운반지갑",230000,2,"400","400060","400060999",0,0,1990,52
162609608,77037452,"고장 파손 아이폰 등 중고폰 액정깨진 폰 삽니다.","중고폰,아이폰,경산,대구,갤럭시",100000,1,"600","600700","600700001",0,0,148,4
162634982,6965817,"(S급) 갤럭시S10 5G 256GB 최상급, 깨끗한 아우라글로우.2","s105g,s10,갤럭시s105g,갤럭시s10,갤럭시",265000,1,"600","600700","600700001",0,0,116,5
162793637,10255755,"S21플러스  [팬텀실버]  48438  (SS급)","S21플러스,S21+,갤럭시S21+,s21+,갤럭시s21+",690000,1,"600","600700","600700001",0,0,118,3
162821380,10255755,"아이폰12미니  128GB  [블랙]  48283  (SS급)","아이폰12미니,12미니,12미니블랙,아이폰12mini,12mini",670000,1,"600","600700","600700001",0,0,120,5
162854569,3682152,"갤럭시s10 5G (A급) 256GB 블랙","갤럭시s105g,갤럭시105g,갤럭시s10",250000,1,"600","600700","600700001",0,0,71,2
162885076,3877897,"갤럭시 버즈2 미개봉 무한매입 합니다","갤럭시버즈2,,버즈2,버즈라이브,버즈프로",110000,1,"600","600500","600500010",0,0,989,7
162950052,10197556,"S10 5G 256기가 S급 블랙 48337","s10,s105g,갤럭시s105g,갤럭시s10",280000,1,"600","600700","600700001",0,0,92,4
163068537,8643779,"235~240(37)정품 골든구스 그레이코드","골든구스,골든구스37,골든구스235,골든구스240,골든구스정품37",150000,1,"405","405200","405200100",0,0,125,4
